"","label","MainText"
"30","ham","Whens your radio show?"
"31","ham","Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
"32","phishing","New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780"
"33","ham","What * u wearing?"
"34","ham","o turns out i had stereo love on mi phone under the unknown album."
"35","ham","Ela kano.,il download, come wen ur free.."
"36","ham","Haha figures, well I found the piece and priscilla's bowl"
"37","ham","Can you do online transaction?"
"38","ham","Ü neva tell me how i noe... I'm not at home in da aft wat..."
"39","phishing","	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386"
"40","phishing","You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750"
"41","ham","What you doing?how are you?"
"42","ham","I didn't get the second half of that message"
"43","phishing","Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app"
"44","ham","Can help u swoop by picking u up from wherever ur other birds r meeting if u want."
"45","ham","Ok lor�whats up�"
"46","ham","Hello madam how are you ?"
"47","ham","Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake."
"48","ham","Good. do you think you could send me some pix? I would love to see your top and bottom..."
"49","phishing","Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc"
"50","ham","HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x"
"51","ham","I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
"52","ham","I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
"53","ham","Ok..let me knw"
"54","ham","You are a very very very very bad girl. Or lady."
"55","phishing","	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app"
"56","ham","K then 2marrow are you coming to class."
"57","ham","Kallis wont bat in 2nd innings."
"58","ham","Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�"
"59","phishing","Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays"
"60","ham","Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
"61","ham","Every day i use to sleep after  &lt;#&gt;  so only."
"62","ham","Sorry, have urgent work.."
"63","ham","Good Morning plz call me sir..I have an urgent work.."
"64","ham","Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face."
"65","ham","Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
"66","ham","Its hard to believe things like this. All can say lie but think twice before saying anything to me."
"67","ham","Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)"
"68","phishing","	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
"69","ham","Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far..."
"70","ham","You need to get up. Now."
"71","phishing","	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!"
"72","ham","Howz pain?hope u r fine.."
"73","ham","Love it! The girls at the office may wonder why you are smiling but sore..."
"74","phishing","	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you."
"75","ham","it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;"
"76","ham","how's things? Just a quick question."
"77","ham","Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad..."
"78","ham","no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
"79","ham","Sorry i missed your call. Can you please call back."
"80","ham","How are you. Its been ages. How's abj"
"81","ham","As if i wasn't having enough trouble sleeping."
"82","ham","Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?"
"83","ham","Thnx dude. u guys out 2nite?"
"84","phishing","Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3"
"85","ham","So are you guys asking that i get that slippers again or its gone with last year"
"86","ham","U guys never invite me anywhere :("
"87","phishing","HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com"
"88","ham","My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7"
"89","ham","Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
"90","phishing","Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
"91","ham","Velly good, yes please!"
"92","ham","By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
"93","phishing","You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP"
"94","ham","Jokin only lar... :-) depends on which phone my father can get lor..."
"95","ham","I thought slide is enough."
"96","ham","IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx"
"97","ham","Dude we should go sup again"
"98","phishing","You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
"99","ham","Shopping lor. Them raining mah hard 2 leave orchard."
"100","ham","What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend."
"101","ham","Need a coffee run tomo?Can't believe it's that time of week already"
"102","ham","Oooh bed ridden ey? What are YOU thinking of?"
"103","ham","Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema."
"104","ham","Ok... C ya..."
"105","ham","Are you this much buzy�.I don�t think so"
"106","phishing","ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800"
"107","ham","Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok."
"108","ham","I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair."
"109","ham","Ha ha ha good joke. Girls are situation seekers."
"110","ham","Sir, i am waiting for your call."
"111","ham","Yay! You better not have told that to 5 other girls either."
"112","ham","But i'll b going 2 sch on mon. My sis need 2 take smth."
"113","ham","Yo theres no class tmrw right?"
"114","ham","My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
"115","phishing","RCT' THNQ Adrian for U text. Rgds Vatian"
"116","ham","Not sure I have the stomach for it ..."
"117","phishing","This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate"
"118","phishing","	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186"
"119","ham","I'll let you know when it kicks in"
"120","ham","Yup, no need. I'll jus wait 4 e rain 2 stop."
"121","phishing","Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)"
"122","phishing","Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM."
"123","phishing","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
"124","ham","Not planned yet :)going to join company on jan 5 only.don know what will happen after that."
"125","ham","Arms fine, how's Cardiff and uni? "
"126","phishing","oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha"
"127","ham","I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)"
"128","ham","Ok then i will come to ur home after half an hour"
"129","ham","ITS A LAPTOP TAKE IT WITH YOU."
"130","ham","S.i think he is waste for rr.."
"131","ham","Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting"
"132","phishing","PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert"
"133","ham","Dun need to use dial up juz open da browser n surf..."
"134","ham","You call him and tell now infront of them. Call him now."
"135","ham","New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
"136","ham","I noe la... U wana pei bf oso rite... K lor, other days den..."
"137","ham","Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?"
"138","ham","And by when you're done I mean now"
"139","ham","I dont want to hear anything"
"140","ham","Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning."
"141","phishing","FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
"142","ham","[…] anyway, many good evenings to u! s"
"143","ham","EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX."
"144","ham","Ü takin linear algebra today?"
"145","ham","Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
"146","ham","Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-("
"147","ham","Jus finish bathing..."
"148","ham","I think your mentor is , but not 100 percent sure."
"149","ham","is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?"
"150","ham","Ok set let u noe e details later..."
"151","ham","Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day."
"152","ham","Ok..lets find out�"
"153","ham","You busy or can I come by at some point and figure out what we're doing tomorrow"
"154","ham","Thats cool. I want to please you..."
"155","ham","May i call You later Pls"
"156","phishing","	Please CALL 08712402779 immediately as there is an urgent message waiting for you"
"157","phishing","Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
"158","ham","My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
"159","ham","Good Morning plz call me sir"
"160","ham","Lol alright i was thinkin that too haha"
"161","phishing","87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077"
"162","ham","Ok pa. Nothing problem:-)"
"163","ham","Alright omw, gotta change my order to a half8th"
"164","ham","Sorry about that this is my mates phone and i didnt write it love Kate"
"165","ham","Aight, see you in a bit"
"166","phishing","I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over."
"167","phishing","Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451."
"168","ham","JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX"
"169","ham","Actually , just do whatever, do find an excuse to be in tampa at some point before january though"
"170","phishing","Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help."
"171","ham","Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke"
"172","ham","Yes! I am a one woman man! Please tell me your likes and dislikes in bed..."
"173","ham","Are you at work right now ?"
"174","phishing","	You have 1 new voicemail. Please call 0871918154."
"175","ham","At 4. Let's go to bill millers"
"176","ham","Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
"177","ham","K..u also dont msg or reply to his msg.."
"178","ham","If india win or level series means this is record:)"
"179","ham","Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
"180","ham","Wot u up 2 u weirdo?"
"181","phishing","	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery"
"182","ham","Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL"
"183","ham","Hmmm.but you should give it on one day.."
"184","phishing","U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901"
"185","ham","Just do what ever is easier for you"
"186","ham","And whenever you and i see we can still hook up too."
"187","phishing","U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
"188","phishing","Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546"
"189","ham","I attended but nothing is there."
"190","phishing","	We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow"
"191","ham","hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
"192","ham","8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
"193","ham","Good morning pookie pie! Lol hope I didn't wake u up"
"194","phishing","Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com"
"195","ham","Do you know where my lab goggles went"
"196","phishing","FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716 "
"197","ham","I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
"198","ham","Is fujitsu s series lifebook good?"
"199","ham","Does uncle timi help in clearing cars"
"200","ham","Greetings me, ! Consider yourself excused."
"201","ham","Tunde, how are you doing. This is just wishing you a great day. Abiola."
"202","ham","Hahaha..use your brain dear..that will work here�"
"203","ham","HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX"
"204","phishing","URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
"205","ham","Ill be there on  &lt;#&gt;  ok."
"206","ham","Then she buying today? Ü no need to c meh..."
"207","ham","Babe ? I lost you ... Will you try rebooting ?"
"208","phishing","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565"
"209","ham","I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud."
"210","ham","I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui."
"211","ham","Hey... Very inconvenient for your sis a not huh?"
"212","ham","Busy here. Trying to finish for new year. I am looking forward to finally meeting you..."
"213","ham","Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat..."
"214","phishing","	FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020."
"215","ham","Will you be here for food"
"216","ham","Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!"
"217","ham","Yes, princess. Toledo."
"218","ham","K..give back my thanks."
"219","ham","Okay same with me. Well thanks for the clarification"
"220","ham","Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
"221","ham","Not sure yet, still trying to get a hold of him"
"222","ham","I'm okay. Chasing the dream. What's good. What are you doing next."
"223","ham","When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar..."
"224","phishing","Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
"225","ham","Lol I would but despite these cramps I like being a girl."
"226","ham","R we still meeting 4 dinner tonight?"
"227","phishing","Please CALL 08712402902 immediately as there is an urgent message waiting for you."
"228","ham","Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
"229","phishing","Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
"230","ham","Have you not finished work yet or something?"
"231","ham","I'm in a meeting, call me later at 4"
"232","phishing","	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
"233","ham","Oh my God. I'm almost home"
"234","phishing","My name is Theresa & I have 7.3milion Dollar to transfer to you for charity work to help the poor ones in ur place india. Contact memea.theresamarie@gmail.com"
"235","phishing","We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705"
"236","ham","Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
"237","ham","Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? "
"238","ham","Then ur physics get a-?"
"239","ham","This single single answers are we fighting? Plus i said am broke and you didnt reply"
"240","ham","Lol yes. Our friendship is hanging on a thread cause u won't buy stuff."
"241","ham","U too..."
"242","ham","Your account has been refilled successfully by INR 100.00; . Your KeralaCircle prepaid account balance is Rs.101.00 ; . Your Transaction ID is KR 3567 ."
"243","ham","Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look."
"244","ham","No current and food here. I am alone also"
"245","ham","Hmm thinking lor..."
"246","ham","Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like."
"247","phishing","URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only"
"248","ham","I think chennai well settled?"
"249","ham","Hi happy birthday. Hi hi hi hi hi hi hi"
"250","ham","Good morning. At the repair shop--the ONLY reason i'm up at this hour."
"251","ham","U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh."
"252","ham","That's very rude, you on campus?"
"253","ham","Did u see what I posted on your Facebook?"
"254","ham","He is world famamus...."
"255","phishing","Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM"
"256","phishing","Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app"
"257","ham","Aight ill get on fb in a couple minutes"
"258","ham","It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
"259","phishing","WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701462. Claim code KL345."
"260","ham","If u sending her home first it's ok lor. I'm not ready yet."
"261","ham","Aiyah e rain like quite big leh. If drizzling i can at least run home."
"262","ham","Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!"
"263","ham","Yeah, probably earlier than that"
"264","ham","If you r at home then I am coming within 20 mins"
"265","ham","Printer is cool. I mean groovy. Wine is groovying"
"266","ham","Don't necessarily expect it to be done before you get back though because I'm just now headin out"
"267","ham","Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
"268","ham","Some are lasting as much as 2 hours. You might get lucky."
"269","ham","Package all your programs well"
"270","ham","He didn't see his shadow. We get an early spring yay"
"271","phishing","URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only. "
"272","phishing","Please call our customer service representative on 6200992462 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.8,00,000 FL1PKART TEAM"
"273","phishing","Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk"
"274","ham","Sure, whenever you show "
"275","ham","Oh god. I'm gonna Google nearby cliffs now."
"276","ham","Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?"
"277","ham","....photoshop makes my computer shut down."
"278","ham","Hey you told your name to gautham ah?"
"279","ham","New car and house for my parents.:)i have only new job in hand:)"
"280","ham","K actually can you guys meet me at the sunoco on howard? It should be right on the way"
"281","ham","Hey what are you doing. Y no reply pa.."
"282","ham","Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor.."
"283","ham","Hi my email address has changed now it is"
"284","ham","No plm i will come da. On the way."
"285","phishing","Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
"286","ham","Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü."
"287","ham","Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks"
"288","ham","Hey are we going for the lo lesson or gym?"
"289","ham","New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur loved ones�."
"290","ham","Where in abj are you serving. Are you staying with dad or alone."
"291","ham","Nope i'm not drivin... I neva develop da photos lei..."
"292","ham","Home so we can always chat"
"293","ham","Ok. C u then."
"294","phishing","YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd"
"295","ham","Sorry sir, i will call you tomorrow.  senthil.hsbc"
"296","ham","I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works."
"297","ham","Pls dont forget to study"
"298","ham","One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt.."
"299","ham","Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve."
"300","ham","Are you willing to go for aptitude class."
"301","ham","So wat's da decision?"
"302","ham","FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
"303","ham","Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant"
"304","ham","Ok... But bag again.."
"305","ham","Cool. Do you like swimming? I have a pool and jacuzzi at my house."
"306","ham","Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches..."
"307","ham","Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
"308","phishing","	You are a winner U have been specially selected 2 receive £1000 cash  speak to a live operator 2 claim 0871277810810"
"309","ham","It's ok i wun b angry. Msg u aft i come home tonight."
"310","ham","Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates"
"311","ham","Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee..."
"312","ham","How much she payed. Suganya."
"313","ham","You still at the game?"
"314","ham","K k:) sms chat with me."
"315","ham","Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today"
"316","ham","The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences..."
"317","ham","Sorry for the delay. Yes masters"
"318","ham","Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
"319","ham","Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say I miss u"
"320","ham","Realy sorry-i don't recognise this number and am now confused :) who r u please?!"
"321","ham","Gud ni8 dear..sleep well�"
"322","phishing","	Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM"
"323","phishing","Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082"
"324","ham","Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale..."
"325","ham","May i call You later Please..I am busy ryt nw�"
"326","ham","Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
"327","ham","Me too! Have a lovely night xxx"
"328","ham","K..k...from tomorrow onwards started ah?"
"329","ham","Its a part of checking IQ"
"330","ham","Yes when is the appt again?"
"331","ham","Re your call; You didn't see my facebook huh?"
