MainText,Tokenized_Text
	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"[390, 1237, 620, 716, 20, 279, 2, 127, 6, 354, 34, 3, 19, 6, 643, 22, 18, 869, 90, 221, 799, 544, 668]"
K then 2marrow are you coming to class.,"[177, 55, 3352, 20, 3, 338, 2, 370]"
Kallis wont bat in 2nd innings.,"[1941, 274, 2631, 9, 456, 2632]"
Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�,"[363, 11, 10, 16, 149, 977, 15, 56, 561, 5, 38, 16, 149, 4946, 10, 61, 3353]"
Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,"[4947, 4948, 4949, 12, 4950, 8, 802, 4, 4951, 2, 4952, 4953, 1942, 4954, 4955, 21, 264, 21, 4956, 1943, 4957]"
"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?","[353, 16, 3354, 8, 3355, 20, 3356, 15, 8, 16, 4958, 20, 1158, 2, 249, 4, 150, 27, 6, 4959, 133, 5, 183, 1085, 70, 9, 68, 98, 429]"
Every day i use to sleep after  &lt;#&gt;  so only.,"[193, 58, 5, 275, 2, 310, 163, 78, 37, 74]"
"Sorry, have urgent work..","[102, 19, 167, 149]"
Good Morning plz call me sir..I have an urgent work..,"[71, 223, 717, 18, 15, 1944, 19, 98, 167, 149]"
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,"[155, 2633, 14, 1238, 598, 5, 160, 6, 1318, 26, 5, 160, 1239, 769, 1550, 5, 60, 37, 1945, 30, 74, 94, 4, 1239, 33, 145, 349, 1550, 5, 287, 329, 1433, 9, 16, 1318, 26, 91, 60, 4960, 4961, 770, 32, 30, 311, 2231, 9, 4, 530]"
"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.","[4962, 3357, 4963, 6, 517, 1318, 94, 11, 4964, 5, 52, 68, 11, 168, 24, 5, 196, 65, 229, 94, 2232, 150, 33, 5, 409, 32, 46, 12, 14]"
Its hard to believe things like this. All can say lie but think twice before saying anything to me.,"[48, 871, 2, 621, 328, 68, 31, 57, 36, 188, 2233, 33, 133, 1946, 190, 713, 229, 2, 15]"
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),"[978, 196, 133, 14, 60, 26, 2234, 5, 103, 14, 57, 101, 42, 30, 6, 2235, 1319, 11, 4965, 14, 250]"
"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.","[45, 545, 1719, 645, 18, 1086, 579, 35, 6, 3358, 3359, 216, 193, 126, 40, 80, 1720, 2, 206, 2634, 1721]"
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,"[398, 91, 136, 15, 10, 1722, 1723, 55, 5, 741, 48, 16, 430, 895, 239, 28, 363, 92, 1031, 32, 1724, 34, 771, 1032, 23, 185, 1031, 239, 1033, 693, 2, 803, 330, 896]"
You need to get up. Now.,"[3, 88, 2, 35, 46, 24]"
	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,"[3, 19, 98, 431, 104, 113, 1159, 18, 1160, 24]"
Howz pain?hope u r fine..,"[1551, 4966, 11, 108, 324]"
Love it! The girls at the office may wonder why you are smiling but sore...,"[87, 14, 4, 897, 21, 4, 366, 224, 1161, 202, 3, 20, 718, 33, 2236]"
	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,"[1162, 41, 22, 18, 228, 63, 82, 10, 98, 167, 106, 256, 12, 3]"
it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,"[48, 107, 30, 432, 8, 31, 73, 5, 238, 445, 4967, 4968, 26, 60, 4, 2237, 4, 1163, 10, 78]"
how's things? Just a quick question.,"[386, 328, 40, 6, 670, 719]"
Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,"[979, 5, 2238, 1947, 208, 136, 5, 3360, 531, 9, 208, 1164, 4969, 2635, 5, 37, 804]"
"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?","[44, 5, 196, 742, 2, 671, 14, 5, 3361, 14, 8, 68, 37, 284, 289, 500, 217, 4970, 367, 2, 3, 5, 207, 14, 1552, 82, 14, 60, 61, 5, 60, 720, 21, 4, 73, 5, 60, 832, 190, 5, 391, 5, 833, 84, 55, 75, 14, 672, 82, 5, 1725, 17, 16, 111, 56, 5, 72, 2, 16, 387, 14, 672, 82, 3, 197, 3, 196, 310, 3, 162, 673, 37, 202, 1948, 26, 25, 4, 73, 2, 1553, 4971, 2636, 1034, 21, 1035, 138, 4, 486]"
Sorry i missed your call. Can you please call back.,"[102, 5, 599, 7, 18, 36, 3, 22, 18, 101]"
How are you. Its been ages. How's abj,"[59, 20, 3, 48, 50, 1949, 386, 3362]"
As if i wasn't having enough trouble sleeping.,"[63, 34, 5, 672, 325, 471, 694, 800]"
Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,"[246, 134, 20, 99, 2, 4, 1726, 824, 21, 37, 674, 77, 79, 23, 82, 3363, 66]"
Thnx dude. u guys out 2nite?,"[4972, 712, 11, 396, 51, 543]"
"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3","[1165, 2239, 3364, 1087, 2240, 2241, 1950, 2241, 4973, 1087, 2241, 12, 248, 980, 18]"
So are you guys asking that i get that slippers again or its gone with last year,"[37, 20, 3, 396, 1166, 26, 5, 35, 26, 2637, 140, 23, 48, 898, 27, 156, 278]"
U guys never invite me anywhere :(,"[11, 396, 371, 834, 15, 2242]"
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,"[1167, 457, 350, 646, 13, 2638, 1167, 721, 2, 25, 187, 40, 647, 468, 899, 84, 1167, 2, 109, 2639]"
My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,"[16, 868, 40, 4974, 4, 74, 2640, 501, 28, 52, 203, 4975, 13, 326, 16, 2243, 1951, 4976, 771, 4, 291, 1554, 17, 487, 78]"
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe","[137, 722, 2244, 19, 5, 329, 3, 5, 3365, 3, 1727, 5, 158, 3, 446, 2, 199, 7, 900, 9, 1952, 12, 546, 4977, 1088, 5, 87, 3, 247]"
"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123","[622, 2, 3366, 31, 136, 10, 45, 1089, 3, 45, 675, 2, 1036, 3367, 1953, 21, 219, 835, 2, 772, 84, 54, 75, 2]"
"Velly good, yes please!","[4978, 71, 164, 22]"
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies","[70, 532, 716, 5, 170, 25, 355, 33, 29, 18, 3, 12, 232, 4, 415, 10, 26, 16, 2245, 371, 416, 59, 896, 27, 3, 386, 149, 8, 4, 1728]"
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,"[3, 19, 187, 6, 222, 354, 23, 287, 3368, 90, 42, 354, 18, 45, 17, 75, 3369, 17, 2246]"
Jokin only lar... :-) depends on which phone my father can get lor...,"[3370, 74, 433, 1555, 17, 254, 111, 16, 1090, 36, 35, 112]"
I thought slide is enough.,"[5, 342, 3371, 10, 471]"
IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,"[32, 4979, 37, 3372, 194, 188, 1320, 84, 11, 6, 3373, 4980, 4981, 151, 331, 13, 4982, 4983, 10, 4984, 30, 4985, 276, 1556, 488, 4986]"
Dude we should go sup again,"[712, 28, 170, 54, 1729, 140]"
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P","[3, 20, 349, 1954, 70, 64, 901, 113, 70, 265, 3, 65, 2, 204, 51, 115, 14, 10, 18, 41, 6, 648, 303, 3374]"
Shopping lor. Them raining mah hard 2 leave orchard.,"[453, 112, 145, 1730, 1031, 871, 302, 1168]"
What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,"[467, 46, 16, 981, 4987, 391, 16, 111, 21, 83, 8, 40, 676, 42, 560, 158, 3, 20, 71, 19, 6, 142, 529]"
Need a coffee run tomo?Can't believe it's that time of week already,"[88, 6, 1240, 695, 3375, 621, 48, 26, 73, 13, 126, 192]"
Oooh bed ridden ey? What are YOU thinking of?,"[3376, 486, 4988, 3377, 61, 20, 3, 743, 13]"
Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,"[66, 30, 6, 415, 29, 35, 145, 6, 3378, 209, 3379, 180, 8, 1321, 17, 1321, 133, 28, 108, 57, 99, 2, 4, 1434]"
Ok... C ya...,"[66, 209, 299]"
Are you this much buzy�.I don�t think so,"[20, 3, 31, 151, 4989, 52, 133, 37]"
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,"[580, 86, 34, 4990, 4991, 9, 45, 266, 940, 1557, 4992, 1955, 164, 4993, 72, 2641, 485, 52, 2642, 6, 489, 4994, 67, 9, 292, 5, 220, 81]"
Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,"[22, 157, 14, 23, 5, 29, 237, 14, 46, 17, 1321, 502, 94, 34, 26, 10, 66]"
I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,"[5, 60, 46, 57, 150, 165, 4995, 94, 31, 1956, 48, 6, 2247, 28, 599, 6, 897, 150, 51, 27, 4996, 4997, 8, 3, 186, 16, 649]"
Ha ha ha good joke. Girls are situation seekers.,"[902, 902, 902, 71, 1957, 897, 20, 1241, 4998]"
"Sir, i am waiting for your call.","[452, 5, 62, 256, 12, 7, 18]"
Yay! You better not have told that to 5 other girls either.,"[1731, 3, 388, 30, 19, 329, 26, 2, 289, 897, 674]"
But i'll b going 2 sch on mon. My sis need 2 take smth.,"[33, 76, 195, 99, 714, 17, 1435, 16, 870, 88, 103, 903]"
Yo theres no class tmrw right?,"[434, 518, 44, 370, 3380, 168]"
"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""","[16, 2643, 184, 342, 5, 318, 304, 2, 203, 2644, 147, 57, 4, 73, 33, 1322, 4999, 15, 56, 5, 62, 805]"
RCT' THNQ Adrian for U text. Rgds Vatian,"[5000, 5001, 5002, 12, 11, 80, 5003, 5004]"
Not sure I have the stomach for it ...,"[30, 232, 5, 19, 4, 2645, 12, 14]"
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate","[31, 10, 4, 456, 73, 28, 19, 445, 121, 11, 11, 19, 187, 4, 1323, 118, 90, 10, 468, 18, 24, 74, 219, 206, 356, 1558]"
	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,"[392, 4, 2248, 3381, 1950, 677, 27, 7, 982, 12, 85, 3382, 3383, 35, 109, 408, 41, 3384, 74, 130, 18]"
I'll let you know when it kicks in,"[76, 207, 3, 65, 56, 14, 3385, 9]"
"Yup, no need. I'll jus wait 4 e rain 2 stop.","[398, 44, 88, 76, 472, 277, 208, 1324, 75]"
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),"[379, 342, 94, 1732, 6, 71, 212, 27, 6, 1958, 1733, 40, 100, 101, 257, 8, 723, 2, 267, 4, 86, 1943, 3386]"
Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,"[93, 312, 104, 7, 312, 650, 43, 1091, 121, 104, 178, 44, 228, 7, 47, 29, 904, 201, 773, 199, 3, 312, 213]"
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","[5005, 2646, 5006, 2, 485, 12, 116, 37, 134, 20, 5007, 12, 313, 5008, 40, 63, 6, 600, 43, 2, 157, 6, 2626, 17, 61, 134, 1092, 195, 435]"
Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,"[30, 1559, 332, 99, 2, 267, 678, 17, 1560, 5009, 65, 61, 29, 774, 163, 26]"
"Arms fine, how's Cardiff and uni? ","[2249, 324, 386, 2647, 8, 1959]"
oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha,"[5010, 1436, 113, 12, 3387, 5011, 5012, 152, 5013, 5014, 152, 696, 121, 1734, 5015, 5016, 2648, 5017, 5018, 5019]"
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),"[32, 189, 102, 5, 274, 195, 562, 38, 31, 5020, 11, 36, 204, 98, 5021, 829, 936, 99, 66]"
Ok then i will come to ur home after half an hour,"[66, 55, 5, 29, 77, 2, 42, 83, 163, 378, 98, 429]"
ITS A LAPTOP TAKE IT WITH YOU.,"[48, 6, 1169, 103, 14, 27, 3]"
S.i think he is waste for rr..,"[1960, 133, 91, 10, 1735, 12, 5022]"
Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,"[619, 1325, 833, 15, 46, 56, 271, 101, 326, 905, 5, 19, 2, 941, 46, 27, 1961, 8, 91, 318, 43, 489, 3388, 10, 3389]"
PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert,"[3390, 2250, 5023, 5024, 2251, 5025, 92, 21, 264, 124, 5026, 12, 5027, 17, 86, 2, 75, 2649, 1170, 124, 5028]"
Dun need to use dial up juz open da browser n surf...,"[316, 88, 2, 275, 1093, 46, 651, 105, 143, 179, 122, 5029]"
You call him and tell now infront of them. Call him now.,"[3, 18, 166, 8, 132, 24, 3391, 13, 145, 18, 166, 24]"
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!","[85, 2252, 1962, 1963, 161, 1241, 33, 2650, 4, 377, 37, 52, 2253, 27, 42, 293, 40, 1736, 145, 290, 188, 32, 318, 503]"
"I noe la... U wana pei bf oso rite... K lor, other days den...","[5, 767, 983, 11, 1171, 5030, 1964, 691, 806, 177, 112, 289, 292, 516]"
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,"[137, 3, 1172, 145, 7, 1316, 56, 3, 1437, 12, 724, 547, 581, 372, 139, 21, 3392]"
And by when you're done I mean now,"[8, 70, 56, 271, 298, 5, 742, 24]"
I dont want to hear anything,"[5, 52, 81, 2, 484, 229]"
Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,"[836, 13, 775, 14, 2, 2651, 1965, 501, 13, 3393, 807, 5031, 501, 2254, 122, 801, 14, 2, 25, 1326, 872, 223]"
"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)","[873, 137, 11, 5, 40, 72, 13, 410, 5032, 5033, 49, 5034, 2, 31, 100, 76, 84, 11, 16, 744, 984, 46, 32, 37, 673, 21, 149, 533, 5035, 5036]"
"[…] anyway, many good evenings to u! s","[619, 284, 71, 3394, 2, 11, 364]"
EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,"[3377, 2652, 5037, 5038, 5039, 11, 239, 5040, 65, 5041, 108, 1173, 21, 5042, 5043, 11, 9, 5044, 15, 34, 42, 46, 5045, 5046, 1327, 533]"
Ü takin linear algebra today?,"[2255, 5047, 5048, 92]"
"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj","[1560, 10, 874, 5049, 37, 319, 11, 6, 231, 147, 85, 278, 147, 5050, 147, 5051, 58, 147, 1174, 58, 147, 5052, 147, 5053, 147, 5054, 58, 147, 224, 58, 147, 5055, 58, 147, 5056, 58, 290, 147, 436, 11, 147, 3395, 5057, 147, 5058, 147, 2653, 147, 745, 78, 71, 5059, 5060, 3394, 1561, 5061, 62, 4, 258, 2, 1242, 11, 57, 5062, 3396]"
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,"[189, 5, 741, 42, 1175, 1328, 365, 1094, 33, 185, 11, 5063, 472, 24, 72, 275, 11, 147, 433, 5, 107, 693, 906]"
Jus finish bathing...,"[472, 357, 2256]"
"I think your mentor is , but not 100 percent sure.","[5, 133, 7, 5064, 10, 33, 30, 5065, 232]"
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,"[10, 7, 3397, 1438, 137, 37, 581, 5, 139, 3, 21, 264, 1168, 1329]"
Ok set let u noe e details later...,"[66, 679, 207, 11, 767, 208, 242, 153]"
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,"[158, 31, 80, 2654, 3, 718, 34, 30, 55, 207, 31, 80, 157, 3, 6, 1083, 2, 393, 19, 6, 746, 58]"
Ok..lets find out�,"[3398, 204, 51]"
You busy or can I come by at some point and figure out what we're doing tomorrow,"[3, 582, 23, 36, 5, 77, 70, 21, 120, 1037, 8, 1243, 51, 61, 162, 186, 180]"
Thats cool. I want to please you...,"[174, 399, 5, 81, 2, 22, 3]"
May i call You later Pls,"[224, 5, 18, 3, 153, 173]"
